problem_id,split,language,difficulty,difficulty_source,membership
awk/36,train_problems,awk,hard,level_propagated,gen+expl+compl
awk/37,train_problems,awk,easy,level_propagated,gen+expl+compl
awk/38,train_problems,awk,easy,level_propagated,gen+expl+compl
awk/39,train_problems,awk,easy,level_propagated,gen+expl+compl
awk/40,train_problems,awk,easy,level_propagated,gen+expl+compl
awk/41,train_problems,awk,easy,level_propagated,gen+expl+compl
awk/42,train_problems,awk,middle,level_propagated,gen+expl+compl
awk/43,train_problems,awk,hard,level_propagated,gen+expl+compl
awk/44,test_problems,awk,hard,level_propagated,gen+expl+compl
awk/45,train_problems,awk,hard,level_propagated,gen+expl+compl
awk/46,train_problems,awk,hard,level_propagated,gen+expl+compl
awk/47,train_problems,awk,easy,level_propagated,gen+expl+compl
awk/48,train_problems,awk,easy,level_propagated,gen+expl+compl
awk/49,train_problems,awk,hard,level_propagated,gen+expl+compl
awk/50,train_problems,awk,hard,level_propagated,gen+expl+compl
c/1,train_problems,c,easy,level_propagated,gen+expl+compl
c/2,test_problems,c,easy,level_propagated,gen+expl+compl
c/3,train_problems,c,middle,level_propagated,gen+expl+compl
c/4,train_problems,c,middle,level_propagated,gen+expl+compl
c/5,train_problems,c,easy,level_propagated,gen+expl+compl
c/6,test_problems,c,easy,level_propagated,gen+expl+compl
c/7,train_problems,c,easy,level_propagated,gen+expl+compl
c/8,train_problems,c,middle,level_propagated,gen+expl+compl
c/9,train_problems,c,easy,level_propagated,gen+expl+compl
c/10,train_problems,c,easy,level_propagated,gen+expl+compl
c/11,train_problems,c,easy,level_propagated,gen+expl+compl
c/12,train_problems,c,easy,level_propagated,gen+expl+compl
c/13,train_problems,c,easy,level_propagated,gen+expl+compl
c/14,train_problems,c,easy,level_propagated,gen+expl+compl
c/15,train_problems,c,hard,level_propagated,gen+expl+compl
c/16,train_problems,c,easy,level_propagated,gen+expl+compl
c/17,train_problems,c,easy,level_propagated,gen+expl+compl
c/18,train_problems,c,hard,level_propagated,gen+expl+compl
c/19,train_problems,c,hard,level_propagated,gen+expl+compl
c/20,train_problems,c,easy,level_propagated,gen+expl+compl
c/21,test_problems,c,easy,level_propagated,gen+expl+compl
c/22,train_problems,c,easy,level_propagated,gen+expl+compl
c/23,test_problems,c,hard,level_propagated,gen+expl+compl
c/24,train_problems,c,middle,level_propagated,gen+expl+compl
c/25,train_problems,c,easy,level_propagated,gen+expl+compl
c/26,test_problems,c,easy,level_propagated,gen+expl+compl
c/27,train_problems,c,easy,level_propagated,gen+expl+compl
c/28,train_problems,c,easy,level_propagated,gen+expl+compl
c/29,train_problems,c,easy,level_propagated,gen+expl+compl
c/30,train_problems,c,easy,level_propagated,gen+expl+compl
c/31,test_problems,c,middle,level_propagated,gen+expl+compl
c/32,train_problems,c,easy,level_propagated,gen+expl+compl
c/33,test_problems,c,easy,level_propagated,gen+expl+compl
c/34,train_problems,c,middle,level_propagated,gen+expl+compl
c/35,test_problems,c,middle,level_propagated,gen+expl+compl
c/36,train_problems,c,easy,level_propagated,gen+expl+compl
c/37,train_problems,c,middle,level_propagated,gen+expl+compl
c/38,test_problems,c,easy,level_propagated,gen+expl+compl
c/39,train_problems,c,middle,level_propagated,gen+expl+compl
c/40,test_problems,c,hard,level_propagated,gen+expl+compl
c/41,train_problems,c,hard,level_propagated,gen+expl+compl
c/42,train_problems,c,hard,level_propagated,gen+expl+compl
c/43,train_problems,c,hard,level_propagated,gen+expl+compl
c/44,train_problems,c,hard,level_propagated,gen+expl+compl
c/45,train_problems,c,hard,level_propagated,gen+expl+compl
c/46,train_problems,c,easy,level_propagated,gen+expl+compl
c/47,train_problems,c,middle,level_propagated,gen+expl+compl
c/48,train_problems,c,easy,level_propagated,gen+expl+compl
c/49,train_problems,c,easy,level_propagated,gen+expl+compl
c/50,train_problems,c,easy,level_propagated,gen+expl+compl
c#/1,train_problems,c#,easy,level_propagated,gen+expl+compl
c#/2,train_problems,c#,easy,level_propagated,gen+expl+compl
c#/3,train_problems,c#,middle,level_propagated,gen+expl+compl
c#/4,test_problems,c#,easy,level_propagated,gen+expl+compl
c#/5,train_problems,c#,middle,level_propagated,gen+expl+compl
c#/6,train_problems,c#,easy,level_propagated,gen+expl+compl
c#/7,train_problems,c#,easy,level_propagated,gen+expl+compl
c#/8,train_problems,c#,easy,level_propagated,gen+expl+compl
c#/9,test_problems,c#,easy,level_propagated,gen+expl+compl
c#/10,train_problems,c#,easy,level_propagated,gen+expl+compl
c#/11,test_problems,c#,easy,level_propagated,gen+expl+compl
c#/12,train_problems,c#,easy,level_propagated,gen+expl+compl
c#/13,train_problems,c#,middle,level_propagated,gen+expl+compl
c#/14,train_problems,c#,easy,level_propagated,gen+expl+compl
c#/15,train_problems,c#,easy,level_propagated,gen+expl+compl
c#/16,test_problems,c#,easy,level_propagated,gen+expl+compl
c#/17,train_problems,c#,easy,level_propagated,gen+expl+compl
c#/18,train_problems,c#,hard,level_propagated,gen+expl+compl
c#/19,train_problems,c#,easy,level_propagated,gen+expl+compl
c#/20,train_problems,c#,easy,level_propagated,gen+expl+compl
c#/21,train_problems,c#,middle,level_propagated,gen+expl+compl
c#/22,test_problems,c#,hard,level_propagated,gen+expl+compl
c#/23,train_problems,c#,easy,level_propagated,gen+expl+compl
c#/24,train_problems,c#,easy,level_propagated,gen+expl+compl
c#/25,train_problems,c#,middle,level_propagated,gen+expl+compl
c#/26,train_problems,c#,middle,level_propagated,gen+expl+compl
c#/27,test_problems,c#,hard,level_propagated,gen+expl+compl
c#/28,test_problems,c#,easy,level_propagated,gen+expl+compl
c#/29,train_problems,c#,easy,level_propagated,gen+expl+compl
c#/30,train_problems,c#,easy,level_propagated,gen+expl+compl
c#/31,train_problems,c#,hard,level_propagated,gen+expl+compl
c#/32,train_problems,c#,middle,level_propagated,gen+expl+compl
c#/33,train_problems,c#,easy,level_propagated,gen+expl+compl
c#/34,test_problems,c#,easy,level_propagated,gen+expl+compl
c#/35,train_problems,c#,hard,level_propagated,gen+expl+compl
c#/36,train_problems,c#,hard,level_propagated,gen+expl+compl
c#/37,train_problems,c#,hard,level_propagated,gen+expl+compl
c#/38,train_problems,c#,easy,level_propagated,gen+expl+compl
c#/39,train_problems,c#,easy,level_propagated,gen+expl+compl
c#/40,train_problems,c#,hard,level_propagated,gen+expl+compl
c#/41,train_problems,c#,easy,level_propagated,gen+expl+compl
c#/42,train_problems,c#,hard,level_propagated,gen+expl+compl
c#/43,test_problems,c#,middle,level_propagated,gen+expl+compl
c#/44,train_problems,c#,easy,level_propagated,gen+expl+compl
c#/45,train_problems,c#,hard,level_propagated,gen+expl+compl
c#/46,train_problems,c#,easy,level_propagated,gen+expl+compl
c#/47,train_problems,c#,easy,level_propagated,gen+expl+compl
c#/48,train_problems,c#,middle,level_propagated,gen+expl+compl
c#/49,test_problems,c#,middle,level_propagated,gen+expl+compl
c#/50,train_problems,c#,easy,level_propagated,gen+expl+compl
coffeescript/1,test_problems,coffeescript,easy,level_propagated,gen+expl+compl
coffeescript/2,train_problems,coffeescript,easy,level_propagated,gen+expl+compl
coffeescript/3,train_problems,coffeescript,easy,level_propagated,gen+expl+compl
coffeescript/4,train_problems,coffeescript,middle,level_propagated,gen+expl+compl
coffeescript/5,test_problems,coffeescript,hard,level_propagated,gen+expl+compl
coffeescript/6,test_problems,coffeescript,easy,level_propagated,gen+expl+compl
coffeescript/7,train_problems,coffeescript,hard,level_propagated,gen+expl+compl
coffeescript/8,train_problems,coffeescript,middle,level_propagated,gen+expl+compl
coffeescript/9,test_problems,coffeescript,middle,level_propagated,gen+expl+compl
coffeescript/10,train_problems,coffeescript,middle,level_propagated,gen+expl+compl
coffeescript/11,train_problems,coffeescript,hard,level_propagated,gen+expl+compl
coffeescript/12,train_problems,coffeescript,easy,level_propagated,gen+expl+compl
coffeescript/13,test_problems,coffeescript,easy,level_propagated,gen+expl+compl
coffeescript/14,train_problems,coffeescript,easy,level_propagated,gen+expl+compl
coffeescript/15,test_problems,coffeescript,hard,level_propagated,gen+expl+compl
coffeescript/16,train_problems,coffeescript,middle,level_propagated,gen+expl+compl
coffeescript/17,train_problems,coffeescript,easy,level_propagated,gen+expl+compl
coffeescript/18,train_problems,coffeescript,easy,level_propagated,gen+expl+compl
coffeescript/19,train_problems,coffeescript,hard,level_propagated,gen+expl+compl
coffeescript/20,train_problems,coffeescript,middle,level_propagated,gen+expl+compl
coffeescript/21,train_problems,coffeescript,middle,level_propagated,gen+expl+compl
coffeescript/22,test_problems,coffeescript,easy,level_propagated,gen+expl+compl
coffeescript/23,test_problems,coffeescript,middle,level_propagated,gen+expl+compl
coffeescript/24,train_problems,coffeescript,hard,level_propagated,gen+expl+compl
coffeescript/25,train_problems,coffeescript,easy,level_propagated,gen+expl+compl
coffeescript/26,train_problems,coffeescript,hard,level_propagated,gen+expl+compl
coffeescript/27,train_problems,coffeescript,easy,level_propagated,gen+expl+compl
coffeescript/28,train_problems,coffeescript,middle,level_propagated,gen+expl+compl
coffeescript/29,train_problems,coffeescript,easy,level_propagated,gen+expl+compl
coffeescript/30,train_problems,coffeescript,hard,level_propagated,gen+expl+compl
coffeescript/31,test_problems,coffeescript,easy,level_propagated,gen+expl+compl
coffeescript/32,test_problems,coffeescript,easy,level_propagated,gen+expl+compl
coffeescript/33,train_problems,coffeescript,easy,level_propagated,gen+expl+compl
coffeescript/34,train_problems,coffeescript,easy,level_propagated,gen+expl+compl
coffeescript/35,train_problems,coffeescript,easy,level_propagated,gen+expl+compl
coffeescript/36,train_problems,coffeescript,hard,level_propagated,gen+expl+compl
coffeescript/37,train_problems,coffeescript,easy,level_propagated,gen+expl+compl
coffeescript/38,train_problems,coffeescript,easy,level_propagated,gen+expl+compl
coffeescript/39,train_problems,coffeescript,easy,level_propagated,gen+expl+compl
coffeescript/40,train_problems,coffeescript,easy,level_propagated,gen+expl+compl
coffeescript/41,train_problems,coffeescript,easy,level_propagated,gen+expl+compl
coffeescript/42,train_problems,coffeescript,middle,level_propagated,gen+expl+compl
coffeescript/43,train_problems,coffeescript,easy,level_propagated,gen+expl+compl
coffeescript/44,train_problems,coffeescript,easy,level_propagated,gen+expl+compl
coffeescript/45,train_problems,coffeescript,easy,level_propagated,gen+expl+compl
coffeescript/46,train_problems,coffeescript,hard,level_propagated,gen+expl+compl
coffeescript/47,train_problems,coffeescript,easy,level_propagated,gen+expl+compl
coffeescript/48,train_problems,coffeescript,easy,level_propagated,gen+expl+compl
coffeescript/49,train_problems,coffeescript,easy,level_propagated,gen+expl+compl
coffeescript/50,train_problems,coffeescript,easy,level_propagated,gen+expl+compl
common lisp/1,train_problems,common lisp,middle,level_propagated,gen+expl+compl
common lisp/2,train_problems,common lisp,middle,level_propagated,gen+expl+compl
common lisp/3,train_problems,common lisp,hard,level_propagated,gen+expl+compl
common lisp/4,train_problems,common lisp,easy,level_propagated,gen+expl+compl
common lisp/5,train_problems,common lisp,easy,level_propagated,gen+expl+compl
common lisp/6,train_problems,common lisp,easy,level_propagated,gen+expl+compl
common lisp/7,train_problems,common lisp,easy,level_propagated,gen+expl+compl
common lisp/8,train_problems,common lisp,easy,level_propagated,gen+expl+compl
common lisp/9,train_problems,common lisp,easy,level_propagated,gen+expl+compl
common lisp/10,train_problems,common lisp,easy,level_propagated,gen+expl+compl
common lisp/11,train_problems,common lisp,easy,level_propagated,gen+expl+compl
common lisp/12,train_problems,common lisp,easy,level_propagated,gen+expl+compl
common lisp/13,test_problems,common lisp,easy,level_propagated,gen+expl+compl
common lisp/14,train_problems,common lisp,easy,level_propagated,gen+expl+compl
common lisp/15,test_problems,common lisp,easy,level_propagated,gen+expl+compl
common lisp/16,train_problems,common lisp,middle,level_propagated,gen+expl+compl
common lisp/17,train_problems,common lisp,hard,level_propagated,gen+expl+compl
common lisp/18,test_problems,common lisp,middle,level_propagated,gen+expl+compl
common lisp/19,test_problems,common lisp,easy,level_propagated,gen+expl+compl
common lisp/20,test_problems,common lisp,hard,level_propagated,gen+expl+compl
common lisp/21,train_problems,common lisp,middle,level_propagated,gen+expl+compl
common lisp/22,train_problems,common lisp,easy,level_propagated,gen+expl+compl
common lisp/23,train_problems,common lisp,easy,level_propagated,gen+expl+compl
common lisp/24,train_problems,common lisp,easy,level_propagated,gen+expl+compl
common lisp/25,train_problems,common lisp,easy,level_propagated,gen+expl+compl
common lisp/26,train_problems,common lisp,middle,level_propagated,gen+expl+compl
common lisp/27,test_problems,common lisp,hard,level_propagated,gen+expl+compl
common lisp/28,test_problems,common lisp,middle,level_propagated,gen+expl+compl
common lisp/29,train_problems,common lisp,middle,level_propagated,gen+expl+compl
common lisp/30,train_problems,common lisp,easy,level_propagated,gen+expl+compl
common lisp/31,train_problems,common lisp,hard,level_propagated,gen+expl+compl
common lisp/32,train_problems,common lisp,hard,level_propagated,gen+expl+compl
common lisp/33,train_problems,common lisp,easy,level_propagated,gen+expl+compl
common lisp/34,train_problems,common lisp,easy,level_propagated,gen+expl+compl
common lisp/35,train_problems,common lisp,hard,level_propagated,gen+expl+compl
common lisp/36,train_problems,common lisp,hard,level_propagated,gen+expl+compl
common lisp/37,train_problems,common lisp,hard,level_propagated,gen+expl+compl
common lisp/38,test_problems,common lisp,easy,level_propagated,gen+expl+compl
common lisp/39,train_problems,common lisp,middle,level_propagated,gen+expl+compl
common lisp/40,train_problems,common lisp,middle,level_propagated,gen+expl+compl
common lisp/41,test_problems,common lisp,easy,level_propagated,gen+expl+compl
common lisp/42,test_problems,common lisp,easy,level_propagated,gen+expl+compl
common lisp/43,train_problems,common lisp,easy,level_propagated,gen+expl+compl
common lisp/44,train_problems,common lisp,easy,level_propagated,gen+expl+compl
common lisp/45,train_problems,common lisp,easy,level_propagated,gen+expl+compl
common lisp/46,train_problems,common lisp,easy,level_propagated,gen+expl+compl
common lisp/47,train_problems,common lisp,easy,level_propagated,gen+expl+compl
common lisp/48,train_problems,common lisp,easy,level_propagated,gen+expl+compl
common lisp/49,train_problems,common lisp,easy,level_propagated,gen+expl+compl
common lisp/50,train_problems,common lisp,easy,level_propagated,gen+expl+compl
cpp/1,train_problems,cpp,easy,level_propagated,gen+expl+compl
cpp/2,test_problems,cpp,easy,level_propagated,gen+expl+compl
cpp/3,train_problems,cpp,easy,level_propagated,gen+expl+compl
cpp/4,train_problems,cpp,easy,level_propagated,gen+expl+compl
cpp/5,train_problems,cpp,easy,level_propagated,gen+expl+compl
cpp/6,train_problems,cpp,easy,level_propagated,gen+expl+compl
cpp/7,train_problems,cpp,easy,level_propagated,gen+expl+compl
cpp/8,train_problems,cpp,middle,level_propagated,gen+expl+compl
cpp/9,train_problems,cpp,easy,level_propagated,gen+expl+compl
cpp/10,train_problems,cpp,easy,level_propagated,gen+expl+compl
cpp/11,train_problems,cpp,easy,level_propagated,gen+expl+compl
cpp/12,train_problems,cpp,easy,level_propagated,gen+expl+compl
cpp/13,train_problems,cpp,easy,level_propagated,gen+expl+compl
cpp/14,train_problems,cpp,easy,level_propagated,gen+expl+compl
cpp/15,train_problems,cpp,hard,level_propagated,gen+expl+compl
cpp/16,train_problems,cpp,easy,level_propagated,gen+expl+compl
cpp/17,test_problems,cpp,hard,level_propagated,gen+expl+compl
cpp/18,train_problems,cpp,hard,level_propagated,gen+expl+compl
cpp/19,test_problems,cpp,hard,level_propagated,gen+expl+compl
cpp/20,test_problems,cpp,easy,level_propagated,gen+expl+compl
cpp/21,train_problems,cpp,easy,level_propagated,gen+expl+compl
cpp/22,train_problems,cpp,easy,level_propagated,gen+expl+compl
cpp/23,train_problems,cpp,middle,level_propagated,gen+expl+compl
cpp/24,test_problems,cpp,middle,level_propagated,gen+expl+compl
cpp/25,train_problems,cpp,easy,level_propagated,gen+expl+compl
cpp/26,train_problems,cpp,easy,level_propagated,gen+expl+compl
cpp/27,train_problems,cpp,easy,level_propagated,gen+expl+compl
cpp/28,test_problems,cpp,easy,level_propagated,gen+expl+compl
cpp/29,test_problems,cpp,easy,level_propagated,gen+expl+compl
cpp/30,train_problems,cpp,easy,level_propagated,gen+expl+compl
cpp/31,train_problems,cpp,middle,level_propagated,gen+expl+compl
cpp/32,test_problems,cpp,easy,level_propagated,gen+expl+compl
cpp/33,train_problems,cpp,easy,level_propagated,gen+expl+compl
cpp/34,train_problems,cpp,middle,level_propagated,gen+expl+compl
cpp/35,train_problems,cpp,middle,level_propagated,gen+expl+compl
cpp/36,train_problems,cpp,easy,level_propagated,gen+expl+compl
cpp/37,test_problems,cpp,middle,level_propagated,gen+expl+compl
cpp/38,train_problems,cpp,middle,level_propagated,gen+expl+compl
cpp/39,train_problems,cpp,middle,level_propagated,gen+expl+compl
cpp/40,train_problems,cpp,hard,level_propagated,gen+expl+compl
cpp/41,train_problems,cpp,hard,level_propagated,gen+expl+compl
cpp/42,train_problems,cpp,hard,level_propagated,gen+expl+compl
cpp/43,train_problems,cpp,hard,level_propagated,gen+expl+compl
cpp/44,train_problems,cpp,hard,level_propagated,gen+expl+compl
cpp/45,train_problems,cpp,hard,level_propagated,gen+expl+compl
cpp/46,train_problems,cpp,easy,level_propagated,gen+expl+compl
cpp/47,train_problems,cpp,middle,level_propagated,gen+expl+compl
cpp/48,test_problems,cpp,easy,level_propagated,gen+expl+compl
cpp/49,train_problems,cpp,easy,level_propagated,gen+expl+compl
cpp/50,train_problems,cpp,easy,level_propagated,gen+expl+compl
dart/0,train_problems,dart,easy,level_propagated,gen+expl+compl
dart/1,train_problems,dart,hard,level_propagated,gen+expl+compl
dart/2,train_problems,dart,middle,level_propagated,gen+expl+compl
dart/3,test_problems,dart,hard,level_propagated,gen+expl+compl
dart/4,test_problems,dart,easy,level_propagated,gen+expl+compl
dart/5,train_problems,dart,easy,level_propagated,gen+expl+compl
dart/6,train_problems,dart,easy,level_propagated,gen+expl+compl
dart/7,train_problems,dart,middle,level_propagated,gen+expl+compl
dart/8,test_problems,dart,easy,level_propagated,gen+expl+compl
dart/9,train_problems,dart,hard,level_propagated,gen+expl+compl
dart/10,train_problems,dart,easy,level_propagated,gen+expl+compl
dart/11,test_problems,dart,middle,level_propagated,gen+expl+compl
dart/12,train_problems,dart,middle,level_propagated,gen+expl+compl
dart/13,test_problems,dart,easy,level_propagated,gen+expl+compl
dart/14,train_problems,dart,easy,level_propagated,gen+expl+compl
dart/15,train_problems,dart,easy,level_propagated,gen+expl+compl
dart/16,train_problems,dart,hard,level_propagated,gen+expl+compl
dart/17,train_problems,dart,hard,level_propagated,gen+expl+compl
dart/18,test_problems,dart,easy,level_propagated,gen+expl+compl
dart/20,train_problems,dart,easy,level_propagated,gen+expl+compl
dart/21,train_problems,dart,easy,level_propagated,gen+expl+compl
dart/22,test_problems,dart,middle,level_propagated,gen+expl+compl
dart/23,train_problems,dart,easy,level_propagated,gen+expl+compl
dart/24,train_problems,dart,middle,level_propagated,gen+expl+compl
dart/25,train_problems,dart,middle,level_propagated,gen+expl+compl
dart/26,train_problems,dart,easy,level_propagated,gen+expl+compl
dart/27,train_problems,dart,easy,level_propagated,gen+expl+compl
dart/28,train_problems,dart,hard,level_propagated,gen+expl+compl
dart/29,train_problems,dart,easy,level_propagated,gen+expl+compl
dart/30,train_problems,dart,easy,level_propagated,gen+expl+compl
dart/31,train_problems,dart,easy,level_propagated,gen+expl+compl
dart/32,test_problems,dart,easy,level_propagated,gen+expl+compl
dart/33,train_problems,dart,easy,level_propagated,gen+expl+compl
dart/34,train_problems,dart,easy,level_propagated,gen+expl+compl
dart/35,train_problems,dart,middle,level_propagated,gen+expl+compl
dart/36,train_problems,dart,easy,level_propagated,gen+expl+compl
dart/37,train_problems,dart,easy,level_propagated,gen+expl+compl
dart/38,train_problems,dart,hard,level_propagated,gen+expl+compl
dart/39,train_problems,dart,easy,level_propagated,gen+expl+compl
dart/40,train_problems,dart,easy,level_propagated,gen+expl+compl
dart/41,train_problems,dart,hard,level_propagated,gen+expl+compl
dart/42,train_problems,dart,hard,level_propagated,gen+expl+compl
dart/43,train_problems,dart,easy,level_propagated,gen+expl+compl
dart/44,train_problems,dart,middle,level_propagated,gen+expl+compl
dart/45,train_problems,dart,middle,level_propagated,gen+expl+compl
dart/46,train_problems,dart,easy,level_propagated,gen+expl+compl
dart/47,train_problems,dart,easy,level_propagated,gen+expl+compl
dart/48,test_problems,dart,easy,level_propagated,gen+expl+compl
dart/49,train_problems,dart,easy,level_propagated,gen+expl+compl
dart/50,test_problems,dart,hard,level_propagated,gen+expl+compl
dart/51,train_problems,dart,hard,level_propagated,gen+expl+compl
elixir/1,train_problems,elixir,middle,level_propagated,gen+expl+compl
elixir/2,train_problems,elixir,easy,level_propagated,gen+expl+compl
elixir/3,test_problems,elixir,middle,level_propagated,gen+expl+compl
elixir/4,train_problems,elixir,easy,level_propagated,gen+expl+compl
elixir/5,test_problems,elixir,easy,level_propagated,gen+expl+compl
elixir/6,train_problems,elixir,easy,level_propagated,gen+expl+compl
elixir/7,test_problems,elixir,easy,level_propagated,gen+expl+compl
elixir/8,train_problems,elixir,middle,level_propagated,gen+expl+compl
elixir/9,train_problems,elixir,hard,level_propagated,gen+expl+compl
elixir/10,train_problems,elixir,middle,level_propagated,gen+expl+compl
elixir/11,train_problems,elixir,hard,level_propagated,gen+expl+compl
elixir/12,train_problems,elixir,middle,level_propagated,gen+expl+compl
elixir/13,train_problems,elixir,easy,level_propagated,gen+expl+compl
elixir/14,train_problems,elixir,middle,level_propagated,gen+expl+compl
elixir/15,test_problems,elixir,middle,level_propagated,gen+expl+compl
elixir/16,test_problems,elixir,easy,level_propagated,gen+expl+compl
elixir/17,train_problems,elixir,easy,level_propagated,gen+expl+compl
elixir/18,train_problems,elixir,hard,level_propagated,gen+expl+compl
elixir/19,test_problems,elixir,easy,level_propagated,gen+expl+compl
elixir/20,train_problems,elixir,easy,level_propagated,gen+expl+compl
elixir/21,train_problems,elixir,easy,level_propagated,gen+expl+compl
elixir/22,train_problems,elixir,middle,level_propagated,gen+expl+compl
elixir/23,train_problems,elixir,middle,level_propagated,gen+expl+compl
elixir/24,test_problems,elixir,hard,level_propagated,gen+expl+compl
elixir/25,train_problems,elixir,easy,level_propagated,gen+expl+compl
elixir/26,train_problems,elixir,easy,level_propagated,gen+expl+compl
elixir/27,train_problems,elixir,easy,level_propagated,gen+expl+compl
elixir/28,train_problems,elixir,hard,level_propagated,gen+expl+compl
elixir/29,test_problems,elixir,hard,level_propagated,gen+expl+compl
elixir/30,train_problems,elixir,hard,level_propagated,gen+expl+compl
elixir/31,train_problems,elixir,easy,level_propagated,gen+expl+compl
elixir/32,train_problems,elixir,easy,level_propagated,gen+expl+compl
elixir/33,train_problems,elixir,hard,level_propagated,gen+expl+compl
elixir/34,test_problems,elixir,easy,level_propagated,gen+expl+compl
elixir/35,train_problems,elixir,middle,level_propagated,gen+expl+compl
elixir/36,test_problems,elixir,easy,level_propagated,gen+expl+compl
elixir/37,train_problems,elixir,hard,level_propagated,gen+expl+compl
elixir/38,train_problems,elixir,easy,level_propagated,gen+expl+compl
elixir/39,train_problems,elixir,easy,level_propagated,gen+expl+compl
elixir/40,train_problems,elixir,easy,level_propagated,gen+expl+compl
elixir/41,train_problems,elixir,easy,level_propagated,gen+expl+compl
elixir/42,train_problems,elixir,easy,level_propagated,gen+expl+compl
elixir/43,train_problems,elixir,easy,level_propagated,gen+expl+compl
elixir/44,train_problems,elixir,easy,level_propagated,gen+expl+compl
elixir/45,train_problems,elixir,easy,level_propagated,gen+expl+compl
elixir/46,train_problems,elixir,easy,level_propagated,gen+expl+compl
elixir/47,train_problems,elixir,easy,level_propagated,gen+expl+compl
elixir/48,train_problems,elixir,easy,level_propagated,gen+expl+compl
elixir/49,train_problems,elixir,easy,level_propagated,gen+expl+compl
elixir/50,train_problems,elixir,easy,level_propagated,gen+expl+compl
emacs lisp/1,train_problems,emacs lisp,easy,level_propagated,gen+expl+compl
emacs lisp/2,train_problems,emacs lisp,middle,level_propagated,gen+expl+compl
emacs lisp/3,train_problems,emacs lisp,easy,level_propagated,gen+expl+compl
emacs lisp/4,train_problems,emacs lisp,hard,level_propagated,gen+expl+compl
emacs lisp/5,train_problems,emacs lisp,easy,level_propagated,gen+expl+compl
emacs lisp/6,train_problems,emacs lisp,easy,level_propagated,gen+expl+compl
emacs lisp/7,train_problems,emacs lisp,middle,level_propagated,gen+expl+compl
emacs lisp/8,train_problems,emacs lisp,easy,level_propagated,gen+expl+compl
emacs lisp/9,train_problems,emacs lisp,hard,level_propagated,gen+expl+compl
emacs lisp/10,test_problems,emacs lisp,easy,level_propagated,gen+expl+compl
emacs lisp/11,train_problems,emacs lisp,easy,level_propagated,gen+expl+compl
emacs lisp/12,train_problems,emacs lisp,easy,level_propagated,gen+expl+compl
emacs lisp/13,test_problems,emacs lisp,hard,level_propagated,gen+expl+compl
emacs lisp/14,train_problems,emacs lisp,easy,level_propagated,gen+expl+compl
emacs lisp/15,test_problems,emacs lisp,hard,level_propagated,gen+expl+compl
emacs lisp/16,train_problems,emacs lisp,easy,level_propagated,gen+expl+compl
emacs lisp/17,train_problems,emacs lisp,hard,level_propagated,gen+expl+compl
emacs lisp/18,train_problems,emacs lisp,hard,level_propagated,gen+expl+compl
emacs lisp/19,train_problems,emacs lisp,easy,level_propagated,gen+expl+compl
emacs lisp/20,train_problems,emacs lisp,middle,level_propagated,gen+expl+compl
emacs lisp/21,train_problems,emacs lisp,easy,level_propagated,gen+expl+compl
emacs lisp/22,train_problems,emacs lisp,easy,level_propagated,gen+expl+compl
emacs lisp/23,train_problems,emacs lisp,hard,level_propagated,gen+expl+compl
